Size	Density	Value
5	0.0	0
5	0.05	0
5	0.1	0
5	0.15	0
5	0.2	0
5	0.25	0
5	0.3	0
5	0.35	0
5	0.4	0
5	0.45	0
5	0.5	0
5	0.55	0
5	0.6	0
5	0.65	0
5	0.7	0
5	0.75	0
5	0.8	0
5	0.85	0
5	0.9	0
5	0.95	115035
5	1.0	201710
10	0.0	0
10	0.05	0
10	0.1	0
10	0.15	0
10	0.2	0
10	0.25	0
10	0.3	0
10	0.35	0
10	0.4	0
10	0.45	0
10	0.5	0
10	0.55	0
10	0.6	0
10	0.65	0
10	0.7	0
10	0.75	0
10	0.8	0
10	0.85	0
10	0.9	0
10	0.95	145874
10	1.0	404401
15	0.0	0
15	0.05	0
15	0.1	0
15	0.15	0
15	0.2	0
15	0.25	0
15	0.3	0
15	0.35	0
15	0.4	0
15	0.45	0
15	0.5	5341
15	0.55	5341
15	0.6	5341
15	0.65	13168
15	0.7	13168
15	0.75	13168
15	0.8	13168
15	0.85	13168
15	0.9	13168
15	0.95	159042
15	1.0	462986
20	0.0	0
20	0.05	0
20	0.1	0
20	0.15	0
20	0.2	0
20	0.25	0
20	0.3	0
20	0.35	0
20	0.4	0
20	0.45	0
20	0.5	5341
20	0.55	5341
20	0.6	5341
20	0.65	13168
20	0.7	13168
20	0.75	14161
20	0.8	14161
20	0.85	14161
20	0.9	14161
20	0.95	160035
20	1.0	473160
25	0.0	0
25	0.05	0
25	0.1	0
25	0.15	0
25	0.2	0
25	0.25	0
25	0.3	0
25	0.35	0
25	0.4	0
25	0.45	0
25	0.5	5341
25	0.55	5341
25	0.6	5341
25	0.65	13168
25	0.7	13168
25	0.75	14161
25	0.8	14161
25	0.85	14161
25	0.9	14438
25	0.95	160312
25	1.0	475568
30	0.0	0
30	0.05	0
30	0.1	0
30	0.15	0
30	0.2	0
30	0.25	0
30	0.3	0
30	0.35	0
30	0.4	0
30	0.45	0
30	0.5	5341
30	0.55	5341
30	0.6	5341
30	0.65	13168
30	0.7	13168
30	0.75	14161
30	0.8	14161
30	0.85	14161
30	0.9	14563
30	0.95	160554
30	1.0	476375
35	0.0	0
35	0.05	0
35	0.1	0
35	0.15	0
35	0.2	0
35	0.25	0
35	0.3	0
35	0.35	0
35	0.4	0
35	0.45	0
35	0.5	5341
35	0.55	5341
35	0.6	5341
35	0.65	13168
35	0.7	13168
35	0.75	14161
35	0.8	14161
35	0.85	14231
35	0.9	14633
35	0.95	160684
35	1.0	476716
40	0.0	0
40	0.05	0
40	0.1	0
40	0.15	0
40	0.2	0
40	0.25	0
40	0.3	0
40	0.35	0
40	0.4	0
40	0.45	0
40	0.5	5341
40	0.55	5341
40	0.6	5341
40	0.65	13168
40	0.7	13168
40	0.75	14190
40	0.8	14190
40	0.85	14303
40	0.9	14705
40	0.95	160756
40	1.0	476906
45	0.0	0
45	0.05	0
45	0.1	0
45	0.15	0
45	0.2	0
45	0.25	0
45	0.3	0
45	0.35	0
45	0.4	0
45	0.45	0
45	0.5	5341
45	0.55	5341
45	0.6	5341
45	0.65	13168
45	0.7	13168
45	0.75	14190
45	0.8	14200
45	0.85	14330
45	0.9	14732
45	0.95	160783
45	1.0	476981
50	0.0	0
50	0.05	0
50	0.1	0
50	0.15	0
50	0.2	0
50	0.25	0
50	0.3	0
50	0.35	0
50	0.4	0
50	0.45	0
50	0.5	5341
50	0.55	5341
50	0.6	5341
50	0.65	13168
50	0.7	13168
50	0.75	14190
50	0.8	14200
50	0.85	14340
50	0.9	14742
50	0.95	160793
50	1.0	477052
55	0.0	0
55	0.05	0
55	0.1	0
55	0.15	0
55	0.2	0
55	0.25	0
55	0.3	0
55	0.35	0
55	0.4	0
55	0.45	0
55	0.5	5341
55	0.55	5341
55	0.6	5341
55	0.65	13168
55	0.7	13168
55	0.75	14199
55	0.8	14209
55	0.85	14349
55	0.9	14751
55	0.95	160802
55	1.0	477095
60	0.0	0
60	0.05	0
60	0.1	0
60	0.15	0
60	0.2	0
60	0.25	0
60	0.3	0
60	0.35	0
60	0.4	0
60	0.45	0
60	0.5	5341
60	0.55	5341
60	0.6	5341
60	0.65	13168
60	0.7	13168
60	0.75	14199
60	0.8	14209
60	0.85	14349
60	0.9	14770
60	0.95	160821
60	1.0	477129
65	0.0	0
65	0.05	0
65	0.1	0
65	0.15	0
65	0.2	0
65	0.25	0
65	0.3	0
65	0.35	0
65	0.4	0
65	0.45	0
65	0.5	5341
65	0.55	5341
65	0.6	5341
65	0.65	13168
65	0.7	13168
65	0.75	14199
65	0.8	14209
65	0.85	14349
65	0.9	14777
65	0.95	160828
65	1.0	477151
70	0.0	0
70	0.05	0
70	0.1	0
70	0.15	0
70	0.2	0
70	0.25	0
70	0.3	0
70	0.35	0
70	0.4	0
70	0.45	0
70	0.5	5341
70	0.55	5341
70	0.6	5341
70	0.65	13168
70	0.7	13168
70	0.75	14199
70	0.8	14209
70	0.85	14349
70	0.9	14782
70	0.95	160833
70	1.0	477166
75	0.0	0
75	0.05	0
75	0.1	0
75	0.15	0
75	0.2	0
75	0.25	0
75	0.3	0
75	0.35	0
75	0.4	0
75	0.45	0
75	0.5	5341
75	0.55	5341
75	0.6	5341
75	0.65	13173
75	0.7	13173
75	0.75	14204
75	0.8	14214
75	0.85	14354
75	0.9	14787
75	0.95	160838
75	1.0	477175
80	0.0	0
80	0.05	0
80	0.1	0
80	0.15	0
80	0.2	0
80	0.25	0
80	0.3	0
80	0.35	0
80	0.4	0
80	0.45	0
80	0.5	5341
80	0.55	5341
80	0.6	5341
80	0.65	13173
80	0.7	13173
80	0.75	14204
80	0.8	14214
80	0.85	14354
80	0.9	14787
80	0.95	160838
80	1.0	477181
85	0.0	0
85	0.05	0
85	0.1	0
85	0.15	0
85	0.2	0
85	0.25	0
85	0.3	0
85	0.35	0
85	0.4	0
85	0.45	0
85	0.5	5341
85	0.55	5341
85	0.6	5341
85	0.65	13173
85	0.7	13173
85	0.75	14204
85	0.8	14214
85	0.85	14354
85	0.9	14787
85	0.95	160838
85	1.0	477189
90	0.0	0
90	0.05	0
90	0.1	0
90	0.15	0
90	0.2	0
90	0.25	0
90	0.3	0
90	0.35	0
90	0.4	0
90	0.45	0
90	0.5	5341
90	0.55	5341
90	0.6	5341
90	0.65	13173
90	0.7	13173
90	0.75	14204
90	0.8	14214
90	0.85	14354
90	0.9	14788
90	0.95	160839
90	1.0	477193
95	0.0	0
95	0.05	0
95	0.1	0
95	0.15	0
95	0.2	0
95	0.25	0
95	0.3	0
95	0.35	0
95	0.4	0
95	0.45	0
95	0.5	5341
95	0.55	5341
95	0.6	5341
95	0.65	13173
95	0.7	13173
95	0.75	14204
95	0.8	14214
95	0.85	14354
95	0.9	14788
95	0.95	160839
95	1.0	477196
100	0.0	0
100	0.05	0
100	0.1	0
100	0.15	0
100	0.2	0
100	0.25	0
100	0.3	0
100	0.35	0
100	0.4	0
100	0.45	0
100	0.5	5341
100	0.55	5341
100	0.6	5341
100	0.65	13173
100	0.7	13173
100	0.75	14204
100	0.8	14214
100	0.85	14354
100	0.9	14788
100	0.95	160839
100	1.0	477196
105	0.0	0
105	0.05	0
105	0.1	0
105	0.15	0
105	0.2	0
105	0.25	0
105	0.3	0
105	0.35	0
105	0.4	0
105	0.45	0
105	0.5	5341
105	0.55	5341
105	0.6	5341
105	0.65	13173
105	0.7	13173
105	0.75	14204
105	0.8	14214
105	0.85	14354
105	0.9	14788
105	0.95	160839
105	1.0	477196
110	0.0	0
110	0.05	0
110	0.1	0
110	0.15	0
110	0.2	0
110	0.25	0
110	0.3	0
110	0.35	0
110	0.4	0
110	0.45	0
110	0.5	5341
110	0.55	5341
110	0.6	5341
110	0.65	13173
110	0.7	13173
110	0.75	14204
110	0.8	14214
110	0.85	14354
110	0.9	14789
110	0.95	160841
110	1.0	477200
115	0.0	0
115	0.05	0
115	0.1	0
115	0.15	0
115	0.2	0
115	0.25	0
115	0.3	0
115	0.35	0
115	0.4	0
115	0.45	0
115	0.5	5341
115	0.55	5341
115	0.6	5341
115	0.65	13173
115	0.7	13173
115	0.75	14204
115	0.8	14214
115	0.85	14354
115	0.9	14789
115	0.95	160841
115	1.0	477203
120	0.0	0
120	0.05	0
120	0.1	0
120	0.15	0
120	0.2	0
120	0.25	0
120	0.3	0
120	0.35	0
120	0.4	0
120	0.45	0
120	0.5	5341
120	0.55	5341
120	0.6	5341
120	0.65	13173
120	0.7	13173
120	0.75	14204
120	0.8	14214
120	0.85	14354
120	0.9	14789
120	0.95	160841
120	1.0	477206
125	0.0	0
125	0.05	0
125	0.1	0
125	0.15	0
125	0.2	0
125	0.25	0
125	0.3	0
125	0.35	0
125	0.4	0
125	0.45	0
125	0.5	5341
125	0.55	5341
125	0.6	5341
125	0.65	13173
125	0.7	13173
125	0.75	14204
125	0.8	14214
125	0.85	14354
125	0.9	14789
125	0.95	160841
125	1.0	477206
130	0.0	0
130	0.05	0
130	0.1	0
130	0.15	0
130	0.2	0
130	0.25	0
130	0.3	0
130	0.35	0
130	0.4	0
130	0.45	0
130	0.5	5341
130	0.55	5341
130	0.6	5341
130	0.65	13173
130	0.7	13173
130	0.75	14204
130	0.8	14214
130	0.85	14354
130	0.9	14789
130	0.95	160841
130	1.0	477206
135	0.0	0
135	0.05	0
135	0.1	0
135	0.15	0
135	0.2	0
135	0.25	0
135	0.3	0
135	0.35	0
135	0.4	0
135	0.45	0
135	0.5	5341
135	0.55	5341
135	0.6	5341
135	0.65	13173
135	0.7	13173
135	0.75	14204
135	0.8	14214
135	0.85	14354
135	0.9	14789
135	0.95	160841
135	1.0	477208
